Argument,Label
Euthanasia can end unnecessary suffering.,Argument From Positive Consequences
"In situations of great chronic pain, euthanasia should be an option for patients.",Argument From Example
Chronic pain changes a person's psychological state to the point where their decision process is so impaired that they cannot make a rational decision on euthanasia.,Argument From Cause to Effect
Less than 33% of patients requesting euthanaisa experience inadequate pain control.,Argument From Expert Opinion
"Some doctors have argued that patients suffering from ""treatement-resistant"" depression should be allowed to elect for euthanasia.",Argument From Expert Opinion
"Much of the suffering of those who request euthanasia, can be relieved simply with better palliative care.",Argument From Alternatives
To let someone suffer until death is just as bad as murder.,Argument From Analogy
It could be considered to be worse than murder since it is torturing for a long time when murder stops life and automatically with it all pain and any more suffering.,Argument From Values
"The people most likely to be considered as candidates for euthanasia are those least likely to be able to speak for themselves (e.g. dementia, brain damage, neurodegenerative disorders).",Argument From Example
Safeguards would likely be put in place.,Argument From Cause to Effect
"Countries, like Canada, use checks like requiring people to be ""mentally competent"" and ""suffering intolerably"".",Argument From Example
The current medical standards in countries with legal euthanasia are too easily attainable.,Argument From Example
"States such as Oregon have ""Death with Dignity"" regulations that set the standards for a person to become eligible for euthanasia.",Argument From Example
Quality of life is something too difficult to compute and can not be valued or 'measured' neither by experts since it involves feelings.,Argument From Values
"This is our life, therefore we should be able to decide when to end it.",Argument From Values
The ability to choose when we die is an integral part of our human freedom.,Argument From Values
God gave life so only he can take it.,Argument From Expert Opinion
"Deuteronomy 32:29 states, ""It is I who bring both death and life.""",Argument From Expert Opinion
"Certain deities (e. g. Moloch, Kukulkan) even fancy human sacrifice.",Argument From Example
Euthanasia is a selfish act.,Argument From Values
Euthanasia is assisted suicide and suicide is a rejection of the value of the life of the patient and those of everyone who cares about them.,Argument From Analogy
"Ethically, doctors should not do anything to a patient that will not benefit them.",Argument From Values
"Euthanasia does not necessarily have to be performed by doctors or nurses, and as such the guiding morality doesn't necessarily spring from the hippocratic oath.",Argument From Alternatives
Legal euthanasia is better than alternatives for those seeking to end their lives.,Argument From Alternatives
Legalised euthanasia is safer than forcing people to seek the alternative option themselves.,Argument From Positive Consequences
Badly implemented suicides can cause direct collateral damage.,Argument From Alternatives
Many who might look to end their lives through euthanasia might not end their lives where it is not legal.,Argument From Cause to Effect
"In this study, of 56 attempted suicides, 55 were from falling and 1 gunshot wound, and many had significant injuries and an increased likeihood of further suicide attempts.",Argument From Example
People may be more inclined to favor euthanasia and make less effort to preserve their lives to the end.,Argument From Negative Consequences
Legalised euthanasia is less stigmatising than suicide or the non-legal alternatives.,Argument From Values
"People should have the right to die with dignity when their dignity is violated by degrading living conditions; 
Therefore, euthanasia is not a violation of dignity of life, on the contrary it's the highest form of respect for it.",Argument From Values
"Life has no inherent value, so it cannot be devalued.",Argument From Values
"The cost of palliative care is extremely high, thus many people who opt for euthanasia are more likely to be poor.",Argument From Cause to Effect
"In 2014, the Lithuanian health minister proposed that ""euthanasia might be needed for poor people who cannot access palliative care"".",Argument From Example
It is immoral to let people die simply because they cannot afford pain-relieving therapies. Palliative care should be made more accessible instead of legalizing euthanasia.,Argument From Values
"Humans have caused irreparable damage to the environment, and are causing constant harm, pain, and suffering to many other living organisms.
 All of this could be avoided if they didn't exist.",Argument From Positive Consequences
"Without humans, animals and plants would be able to live and grow without the risks associated with human generated waste and anthropogenic climate change.",Argument From Positive Consequences
Global warming would continue to exist; it exists regardless of the impact of humans.,Argument From Cause to Effect
The impact of human activity has greatly exacerbated climate change (p. 1).,Argument From Expert Opinion
"Without humans, a variety of species, habitats, and environments would have been changed by circumstances other than human influence and intervention. 
There is no guarantee that those natural changes would have been necessarily better than the changes caused by humans.",Argument From Cause to Effect
The Earth would be able to heal and become a better place because the root cause for ecocide would simply not exist.,Argument From Positive Consequences
